2024-03-12 02:23:13.186656506+00:00 - BEGIN BUILDING MUTANT APK EntrySection_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:23:17.309742411+00:00 - END BUILDING MUTANT APK EntrySection_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:23:17.310684465+00:00 - BEGIN INSTALLING MUTANT APK EntrySection_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:23:17.461512591+00:00 - END INSTALLING MUTANT APK EntrySection_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:25:13.637125250+00:00 - END RUNNING MUTANT EntrySection_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:25:13.640748212+00:00 - BEGIN RUNNING MUTANT GroupHeaderView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:25:13.641759007+00:00 - BEGIN BUILDING MUTANT APK GroupHeaderView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:25:17.620307227+00:00 - END BUILDING MUTANT APK GroupHeaderView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:25:17.621211434+00:00 - BEGIN INSTALLING MUTANT APK GroupHeaderView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:25:17.771200366+00:00 - END INSTALLING MUTANT APK GroupHeaderView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:27:14.113181026+00:00 - END RUNNING MUTANT GroupHeaderView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:27:14.116337855+00:00 - BEGIN RUNNING MUTANT GroupHeaderView_1_InvalidIDFindViewOperatorMutator
